Name	StdBarcode	AcademicBarcode
100000	100	10000
100001	101	10001
100002	102	10002
100003	103	10003
100004	104	10004
100005	105	10005
100006	106	10006
100007	-	10007
100008	108	10008
100009	109	10009
100010	110	10010
100011	111	10011
100012	112	10012
100013	-	10013
100014	114	10014
100015	115	10015
100016	-	10016
100017	-	10017
100018	-	10018
100019	-	10019
100020	-	10020
100021	-	10021
100022	-	10022
100023	-	10023
100024	-	10024
100025	125	10025
100026	126	10026
100027	127	10027
100028	-	10028
100029	129	10029
100030	130	10030
100031	131	10031
100032	132	10032
100033	133	10033
100034	-	10034
100035	135	10035
100036	136	10036
100037	137	10037
100038	138	10038
100039	139	10039
100040	140	10040
100041	141	10041
100042	-	10042
100043	143	10043
100044	144	10044
100045	145	10045
100046	146	10046
100047	147	10047
100048	148	10048
100049	-	10049
100050	-	10050
100051	-	10051
100052	-	10052
100053	-	10053
100054	154	10054
100055	155	10055
100056	156	10056
100057	-	10057
100058	158	10058
100059	159	10059
100060	160	10060
100061	161	10061
100062	-	10062
100063	163	10063
100064	164	10064
100065	165	10065
100066	166	10066
100067	167	10067
100068	168	10068
100069	169	10069
100070	-	10070
100071	171	10071
100072	172	10072
100073	173	10073
100074	174	10074
100075	-	10075
100076	-	10076
100077	-	10077
100078	-	10078
100079	-	10079
100080	-	10080
100081	181	10081
100082	182	10082
100083	183	10083
100084	184	10084
100085	-	10085
100086	186	10086
100087	187	10087
100088	188	10088
100089	189	10089
100090	190	10090
100091	191	10091
100092	-	10092
100093	-	10093
100094	-	10094
100095	-	10095
100096	-	10096
100097	-	10097
100098	198	10098
100099	199	10099
100100	200	10100
100101	201	10101
100102	202	10102
100103	-	10103
100104	204	10104
100105	205	10105
100106	206	10106
100107	-	10107
100108	-	10108
100109	-	10109
100110	-	10110
100111	211	10111
100112	212	10112
100113	213	10113
100114	214	10114
100115	-	10115
100116	216	10116
100117	217	10117
100118	218	10118
100119	219	10119
100120	220	10120
100121	-	10121
100122	-	10122
100123	-	10123
100124	-	10124
100125	-	10125
100126	-	10126
100127	227	10127
100128	228	10128
100129	229	10129
100130	-	10130
100131	231	10131
100132	232	10132
100133	233	10133
100134	234	10134
100135	235	10135
100136	-	10136
100137	-	10137
100138	-	10138
100139	-	10139
100140	-	10140
100141	-	10141
100142	-	10142
100143	243	10143
100144	244	10144
100145	-	10145
100146	246	10146
100147	247	10147
100148	248	10148
100149	249	10149
100150	250	10150
100151	251	10151
100075	-	10152
100076	-	10153
100077	-	10154
100078	-	10155
100079	-	10156
100080	257	10157
100081	258	10158
100082	259	10159
100083	260	10160
100084	261	10161
100085	-	10162
100086	263	10163
100087	264	10164
100088	265	10165
100089	266	10166
100090	267	10167
100091	268	10168
100092	269	10169
100093	-	10170
100094	-	10171
100095	-	10172
100096	-	10173
100097	-	10174
100098	275	10175
100099	276	10176
100100	277	10177
100178	278	10178
100179	-	10179
100180	280	10180
100181	281	10181
100182	282	10182
100183	283	10183
100184	284	10184
100185	285	10185
100186	-	10186
100187	-	10187
100188	-	10188
100189	-	10189
100190	-	10190
100191	291	10191
100192	292	10192
100193	293	10193
100194	294	10194
100195	295	10195
100196	296	10196
100197	297	10197
100198	-	10198
100199	299	10199
100200	300	10200
100201	301	10201
100202	-	10202
100203	-	10203
100204	-	10204
100205	-	10205
100206	-	10206
100207	-	10207
100208	308	10208
100209	309	10209
100210	310	10210
100211	311	10211
100212	-	10212
100213	313	10213
100214	314	10214
